temperature, humidity, moisture
25.0,52.1,59.463
25.0,52.1,59.365
25.0,52.1,59.536
25.0,52.0,59.756
25.0,52.1,59.829
25.0,52.0,59.268
25.0,52.0,60.269
25.0,52.0,59.756
25.0,52.0,59.878
25.0,51.9,59.756
25.0,51.9,59.976
25.0,51.9,59.951
25.0,51.9,60.024
25.0,51.9,60.024
25.0,51.9,60.293
25.0,51.9,60.049
25.0,51.8,60.024
25.0,51.8,59.927
25.0,51.8,60.098
25.0,51.8,60.098
25.0,51.8,60.098
25.0,51.8,59.609
25.0,51.8,60.122
25.0,51.8,60.098
25.0,51.8,60.098
25.0,51.7,60.195
25.0,51.8,60.049
25.0,51.7,59.805
25.1,51.7,60.122
25.0,51.7,60.317
25.0,51.7,60.293
25.0,51.7,60.195
25.0,51.7,60.195
25.0,51.8,60.22
25.0,51.8,60.317
25.0,51.7,60.146
25.0,51.7,60.269
25.0,51.8,60.293
25.0,51.8,60.415
25.0,51.8,60.049
25.0,51.8,60.537
25.0,51.8,60.269
25.0,51.7,60.244
25.0,51.7,60.171
25.0,51.8,60.439
25.0,51.8,60.391
25.0,51.8,62.026
25.0,51.8,60.22
25.0,51.9,60.024
25.0,51.9,59.829
25.0,51.9,60.0
25.0,51.9,60.073
24.9,51.9,60.098
24.9,51.9,60.098
24.9,51.9,60.0
24.9,52.0,60.024
24.9,52.0,59.902
24.9,52.0,60.073
24.9,51.9,60.146
24.9,52.0,59.976
24.9,52.0,60.146
24.9,52.0,60.049
25.0,51.9,59.951
25.0,52.0,60.073
24.9,51.9,60.049
24.9,52.0,60.098
25.0,52.0,60.0
25.0,51.9,60.0
24.9,52.0,60.122
25.0,52.0,59.927
25.0,52.0,60.195
25.0,51.9,60.0
24.9,51.9,60.122
25.0,51.9,60.146
24.9,52.0,60.146
24.9,52.0,60.073
24.9,52.0,60.122
25.0,52.0,60.293
25.0,52.0,59.951
25.0,52.0,60.049
25.0,52.0,60.122
25.0,52.0,60.024
25.0,52.0,59.902
25.0,52.0,60.195
25.0,52.0,60.049
25.0,52.0,60.146
25.0,52.0,60.146
25.0,52.0,59.902
25.0,52.0,60.244
25.0,52.0,60.317
25.0,52.0,59.902
25.0,52.0,60.22
25.0,52.0,60.098
25.0,51.9,60.22
25.0,51.9,60.22
25.0,51.9,60.073
25.1,52.0,60.293
25.1,52.0,60.464
25.1,52.0,59.805
25.1,51.9,60.22
25.1,51.9,60.22
25.1,51.9,60.269
25.1,51.9,60.122
25.1,51.9,60.146
25.1,51.9,60.391
25.1,51.9,60.049
25.1,51.9,60.146
25.1,51.8,60.195
25.1,51.8,60.342
25.1,51.8,60.195
25.1,51.9,60.146
25.1,51.9,60.122
25.1,51.9,60.146
25.1,51.9,59.951
25.1,51.9,60.024
25.1,51.9,60.195
25.1,51.9,60.195
25.1,51.9,59.927
25.1,51.9,60.098
25.1,51.9,60.0
25.1,51.9,60.195
25.1,51.9,60.171
25.1,51.9,60.22
25.1,51.9,60.317
25.1,51.9,60.195
25.1,52.0,60.195
25.1,51.9,60.098
25.1,51.9,60.146
25.1,51.9,60.024
25.1,51.9,60.122
25.1,51.9,60.659
25.1,51.9,60.171
25.0,51.9,60.195
25.0,51.9,60.513
25.0,52.0,60.22
25.1,52.0,59.927
25.0,52.0,60.171
25.0,52.0,60.098
25.0,52.0,60.171
25.0,52.0,60.049
25.0,52.0,60.049
25.0,52.0,60.073
25.0,52.0,60.488
25.0,52.0,60.122
25.0,52.0,60.073
25.0,52.0,60.098
25.1,52.0,60.073
25.0,52.0,59.829
25.1,52.0,59.634
25.0,52.0,59.829
25.0,52.0,59.878
25.0,52.1,59.878
25.0,52.1,59.756
