temperature, humidity, moisture
22.9,59.0,68.693
22.9,59.1,68.644
22.9,59.0,68.498
22.9,59.1,68.327
22.9,59.0,68.205
23.0,59.0,68.156
23.0,58.9,68.058
23.0,58.8,68.058
23.0,58.8,67.887
23.0,58.7,67.887
23.0,58.6,67.887
23.0,58.5,67.716
23.1,58.5,67.521
23.1,58.4,67.497
23.1,58.3,67.594
23.1,58.2,67.546
23.1,58.1,67.301
23.1,58.0,67.326
23.1,57.9,67.204
23.1,57.9,67.131
23.1,57.8,67.155
23.1,57.7,66.984
23.1,57.7,67.057
23.1,57.6,66.96
23.2,57.6,67.277
23.2,57.6,66.74
23.2,57.5,66.838
23.2,57.5,66.764
23.2,57.4,66.618
23.2,57.4,66.52
23.2,57.3,66.667
23.2,57.3,66.593
23.2,57.3,66.423
23.2,57.3,66.496
23.2,57.2,66.471
23.2,57.2,66.398
23.2,57.2,66.252
23.2,57.2,66.203
23.2,57.1,66.252
23.2,57.1,47.424
23.2,57.1,64.689
23.2,57.1,64.543
23.2,57.0,64.421
23.3,57.0,64.347
23.3,57.0,63.908
23.3,57.0,64.079
23.3,57.0,64.201
23.3,57.0,63.835
23.3,56.9,63.59
23.3,56.9,63.883
23.3,56.9,63.713
23.3,56.9,63.737
23.3,56.8,63.615
23.3,56.8,63.566
23.3,56.8,63.42
23.3,56.8,63.371
23.3,56.8,63.322
23.3,56.8,63.42
23.3,56.8,63.346
23.3,56.8,63.249
23.3,56.7,63.151
23.3,56.8,63.297
23.3,56.8,63.078
23.3,56.7,63.42
