temperature, humidity, moisture
23.0,45.0,69.9
23.0,45.2,70.1
23.1,44.7,69.8
23.1,45.6,69.9
23.1,45.3,70.3
23.2,44.6,70.0
23.2,45.0,70.4
23.2,44.6,70.5
23.3,44.9,69.8
23.3,43.9,70.0
23.3,44.8,69.8
23.4,44.5,69.6
23.4,44.8,69.7
23.4,44.2,69.3
23.5,43.9,69.2
23.5,44.5,69.3
23.5,44.9,69.1
23.6,44.4,68.8
23.6,43.7,69.6
23.6,44.9,69.9
23.7,44.2,69.6
23.7,44.1,70.0
23.7,44.2,69.8
23.7,44.3,69.9
23.8,44.4,69.3
23.8,44.4,69.3
23.8,44.4,69.7
23.9,43.7,69.1
23.9,43.8,69.4
23.9,44.0,69.5
24.0,44.0,69.4
24.0,43.8,69.1
24.0,44.3,69.1
24.1,44.1,68.9
24.1,43.4,69.3
24.1,44.3,69.6
24.2,43.6,69.1
24.2,43.9,69.0
24.2,43.5,69.2
24.3,43.2,68.9
24.3,43.6,69.5
24.3,43.1,68.7
24.4,44.0,68.7
24.4,43.3,69.0
24.4,43.4,68.8
24.5,43.3,68.4
24.5,43.8,69.5
24.5,43.4,69.2
24.5,43.8,68.2
24.6,43.9,68.5
24.6,43.5,69.0
24.6,43.3,69.3
24.7,44.1,69.1
24.7,43.1,68.1
24.7,43.1,68.8
24.8,43.4,68.9
24.8,43.4,68.1
24.8,42.8,67.8
24.9,43.2,69.0
24.9,43.3,68.3
24.9,42.7,67.7
24.9,42.8,68.9
25.0,43.2,68.3
25.0,43.1,68.3
25.0,42.8,68.3
25.1,43.6,68.1
25.1,43.3,67.8
25.1,43.4,68.3
25.2,42.7,67.7
25.2,43.2,68.5
25.2,43.1,68.2
25.2,42.8,68.2
25.3,42.6,68.4
25.3,42.8,68.1
25.3,43.2,68.8
25.4,43.0,67.7
25.4,43.0,68.2
25.4,42.5,68.1
25.4,42.3,68.1
25.5,42.9,68.5
25.5,42.6,68.4
25.5,42.9,67.8
25.6,42.0,68.4
25.6,42.4,68.0
25.6,41.8,68.1
25.6,42.1,68.0
25.7,41.6,67.7
25.7,42.1,67.3
25.7,42.2,67.8
25.8,42.9,67.4
25.8,42.1,67.5
25.8,42.2,68.0
25.8,42.3,67.5
25.9,43.0,67.3
25.9,42.0,66.9
25.9,42.2,67.4
25.9,41.7,67.6
26.0,42.0,67.0
26.0,42.2,68.1
26.0,42.0,67.3
26.0,42.4,67.0
26.1,41.6,67.2
26.1,42.3,67.4
26.1,42.1,67.5
26.1,42.1,67.1
26.2,42.0,67.4
26.2,41.7,67.3
26.2,42.0,66.8
26.2,41.7,66.9
26.3,41.3,67.4
26.3,41.5,66.8
26.3,41.3,67.3
26.3,41.8,66.9
26.4,41.3,66.4
26.4,41.1,67.2
26.4,42.0,67.1
26.4,41.5,67.2
26.5,41.6,66.7
26.5,41.7,66.5
26.5,42.0,66.1
26.5,41.4,66.5
26.6,41.6,66.9
26.6,41.6,66.6
26.6,41.2,66.9
26.6,41.1,66.7
26.6,41.0,66.7
26.7,41.1,66.1
26.7,41.7,66.5
26.7,41.1,67.0
26.7,40.9,66.8
26.8,40.4,66.3
26.8,41.1,65.9
26.8,41.1,67.3
26.8,40.8,66.5
26.8,40.7,66.6
26.9,40.9,66.2
26.9,40.8,66.7
26.9,40.7,66.5
26.9,41.5,66.4
26.9,41.3,66.2
27.0,41.3,66.2
27.0,41.1,66.1
27.0,40.9,66.1
27.0,40.5,66.3
27.0,40.7,66.1
27.1,40.9,66.1
27.1,41.6,65.9
27.1,41.0,65.9
27.1,40.6,66.4
27.1,40.9,66.3
27.2,40.8,66.6
27.2,41.2,66.0
27.2,41.1,66.3
27.2,40.3,66.0
27.2,40.4,66.3
27.2,40.3,65.6
27.3,41.0,66.0
27.3,40.2,66.1
27.3,40.5,65.6
27.3,40.3,65.7
27.3,40.3,65.3
27.3,39.6,65.6
27.4,40.7,64.8
27.4,40.4,65.6
27.4,40.3,66.2
27.4,40.3,65.6
27.4,40.8,65.4
27.4,41.0,65.6
27.5,40.7,65.3
27.5,40.1,65.6
27.5,40.2,64.7
27.5,40.4,65.0
27.5,40.8,65.4
27.5,40.5,66.0
27.5,41.1,65.5
27.6,40.7,65.3
27.6,40.1,65.4
27.6,40.3,65.5
27.6,40.4,65.0
27.6,40.9,65.6
27.6,39.5,65.7
27.6,40.8,65.3
27.6,40.4,64.9
27.7,40.6,64.8
27.7,40.1,65.3
27.7,40.6,65.6
27.7,40.2,65.2
27.7,40.3,65.1
27.7,40.0,65.4
27.7,40.7,65.6
27.7,40.1,64.3
27.7,40.4,65.2
27.8,40.1,65.2
27.8,40.6,64.9
27.8,40.5,64.6
27.8,40.0,64.9
27.8,40.5,64.3
27.8,40.5,64.2
27.8,39.9,65.0
27.8,40.7,64.2
27.8,40.4,64.5
27.8,40.3,64.3
27.8,40.3,64.7
27.9,40.2,64.1
27.9,40.2,64.1
27.9,40.8,64.3
27.9,40.0,64.6
27.9,40.5,64.7
27.9,40.3,64.2
27.9,40.4,64.4
27.9,40.2,64.8
27.9,40.3,64.4
27.9,39.9,65.2
27.9,40.4,64.2
27.9,39.7,63.9
27.9,40.7,64.4
27.9,39.5,63.8
27.9,40.1,64.1
27.9,40.5,64.5
28.0,39.8,64.4
28.0,39.8,64.0
28.0,40.0,63.3
